"_time","Rate (Avg) /s"
"2024-05-09T04:55:30.000+00:00",63236
"2024-05-09T04:56:00.000+00:00",63242
"2024-05-09T04:56:30.000+00:00",63246
"2024-05-09T04:57:00.000+00:00",63282
"2024-05-09T04:57:30.000+00:00",63366
"2024-05-09T04:58:00.000+00:00",63597
"2024-05-09T04:58:30.000+00:00",63603
"2024-05-09T04:59:00.000+00:00",63607
"2024-05-09T04:59:30.000+00:00",63611
"2024-05-09T05:00:00.000+00:00",63617
"2024-05-09T05:00:30.000+00:00",63870
"2024-05-09T05:01:00.000+00:00",63929
"2024-05-09T05:01:30.000+00:00",63934
"2024-05-09T05:02:00.000+00:00",63940
"2024-05-09T05:02:30.000+00:00",63944
"2024-05-09T05:03:00.000+00:00",64124
"2024-05-09T05:03:30.000+00:00",64256
"2024-05-09T05:04:00.000+00:00",64262
"2024-05-09T05:04:30.000+00:00",64266
"2024-05-09T05:05:00.000+00:00",64270
"2024-05-09T05:05:30.000+00:00",64378
"2024-05-09T05:06:00.000+00:00",64584
"2024-05-09T05:06:30.000+00:00",64589
"2024-05-09T05:07:00.000+00:00",64593
"2024-05-09T05:07:30.000+00:00",64597
"2024-05-09T05:08:00.000+00:00",64641
"2024-05-09T05:08:30.000+00:00",64879
"2024-05-09T05:09:00.000+00:00",64915
"2024-05-09T05:09:30.000+00:00",64921
"2024-05-09T05:10:00.000+00:00",64924
"2024-05-09T05:10:30.000+00:00",64931
"2024-05-09T05:11:00.000+00:00",65094
"2024-05-09T05:11:30.000+00:00",65243
"2024-05-09T05:12:00.000+00:00",65247
"2024-05-09T05:12:30.000+00:00",65253
"2024-05-09T05:13:00.000+00:00",65258
"2024-05-09T05:13:30.000+00:00",65357
"2024-05-09T05:14:00.000+00:00",65569
"2024-05-09T05:14:30.000+00:00",65576
"2024-05-09T05:15:00.000+00:00",65580
"2024-05-09T05:15:30.000+00:00",65584
"2024-05-09T05:16:00.000+00:00",65612
"2024-05-09T05:16:30.000+00:00",65850
"2024-05-09T05:17:00.000+00:00",65902
"2024-05-09T05:17:30.000+00:00",65908
"2024-05-09T05:18:00.000+00:00",65912
"2024-05-09T05:18:30.000+00:00",65916
"2024-05-09T05:19:00.000+00:00",66106
"2024-05-09T05:19:30.000+00:00",66230
"2024-05-09T05:20:00.000+00:00",66234
"2024-05-09T05:20:30.000+00:00",66239
"2024-05-09T05:21:00.000+00:00",66245
"2024-05-09T05:21:30.000+00:00",66368
"2024-05-09T05:22:00.000+00:00",66557
"2024-05-09T05:22:30.000+00:00",66562
"2024-05-09T05:23:00.000+00:00",66568
"2024-05-09T05:23:30.000+00:00",66573
"2024-05-09T05:24:00.000+00:00",66625
"2024-05-09T05:24:30.000+00:00",66861
"2024-05-09T05:25:00.000+00:00",66891
"2024-05-09T05:25:30.000+00:00",66895
"2024-05-09T05:26:00.000+00:00",66899
"2024-05-09T05:26:30.000+00:00",66904
"2024-05-09T05:27:00.000+00:00",67118
"2024-05-09T05:27:30.000+00:00",67218
"2024-05-09T05:28:00.000+00:00",67222
"2024-05-09T05:28:30.000+00:00",67226
"2024-05-09T05:29:00.000+00:00",67234
"2024-05-09T05:29:30.000+00:00",67374
"2024-05-09T05:30:00.000+00:00",67546
"2024-05-09T05:30:30.000+00:00",67550
"2024-05-09T05:31:00.000+00:00",67554
"2024-05-09T05:31:30.000+00:00",67560
"2024-05-09T05:32:00.000+00:00",67636
"2024-05-09T05:32:30.000+00:00",67874
"2024-05-09T05:33:00.000+00:00",67879
"2024-05-09T05:33:30.000+00:00",67885
"2024-05-09T05:34:00.000+00:00",67889
"2024-05-09T05:34:30.000+00:00",67893
"2024-05-09T05:35:00.000+00:00",68138
"2024-05-09T05:35:30.000+00:00",68208
"2024-05-09T05:36:00.000+00:00",68212
"2024-05-09T05:36:30.000+00:00",68216
"2024-05-09T05:37:00.000+00:00",68220
"2024-05-09T05:37:30.000+00:00",68387
"2024-05-09T05:38:00.000+00:00",68536
"2024-05-09T05:38:30.000+00:00",68540
"2024-05-09T05:39:00.000+00:00",68544
"2024-05-09T05:39:30.000+00:00",68550
"2024-05-09T05:40:00.000+00:00",68650
"2024-05-09T05:40:30.000+00:00",68862
"2024-05-09T05:41:00.000+00:00",68866
"2024-05-09T05:41:30.000+00:00",68873
"2024-05-09T05:42:00.000+00:00",68877
"2024-05-09T05:42:30.000+00:00",68905
"2024-05-09T05:43:00.000+00:00",69142
"2024-05-09T05:43:30.000+00:00",69195
"2024-05-09T05:44:00.000+00:00",69201
"2024-05-09T05:44:30.000+00:00",69206
"2024-05-09T05:45:00.000+00:00",69210
"2024-05-09T05:45:30.000+00:00",69406
"2024-05-09T05:46:00.000+00:00",69525
"2024-05-09T05:46:30.000+00:00",69530
"2024-05-09T05:47:00.000+00:00",69534
"2024-05-09T05:47:30.000+00:00",69538
"2024-05-09T05:48:00.000+00:00",69688
"2024-05-09T05:48:30.000+00:00",69853
"2024-05-09T05:49:00.000+00:00",69857
"2024-05-09T05:49:30.000+00:00",69861
"2024-05-09T05:50:00.000+00:00",69867
"2024-05-09T05:50:30.000+00:00",69943
"2024-05-09T05:51:00.000+00:00",70179
"2024-05-09T05:51:30.000+00:00",70183
"2024-05-09T05:52:00.000+00:00",70190
"2024-05-09T05:52:30.000+00:00",70194
"2024-05-09T05:53:00.000+00:00",70198
"2024-05-09T05:53:30.000+00:00",70434
"2024-05-09T05:54:00.000+00:00",70512
"2024-05-09T05:54:30.000+00:00",70516
"2024-05-09T05:55:00.000+00:00",70520
"2024-05-09T05:55:30.000+00:00",70524
"2024-05-09T05:56:00.000+00:00",70700
"2024-05-09T05:56:30.000+00:00",70839
"2024-05-09T05:57:00.000+00:00",70843
"2024-05-09T05:57:30.000+00:00",70847
"2024-05-09T05:58:00.000+00:00",70851
"2024-05-09T05:58:30.000+00:00",70953
"2024-05-09T05:59:00.000+00:00",71165
"2024-05-09T05:59:30.000+00:00",71169
"2024-05-09T06:00:00.000+00:00",71173
"2024-05-09T06:00:30.000+00:00",71179
"2024-05-09T06:01:00.000+00:00",71184
"2024-05-09T06:01:30.000+00:00",71412
"2024-05-09T06:02:00.000+00:00",71496
"2024-05-09T06:02:30.000+00:00",71503
"2024-05-09T06:03:00.000+00:00",71507
"2024-05-09T06:03:30.000+00:00",71512
"2024-05-09T06:04:00.000+00:00",71708
"2024-05-09T06:04:30.000+00:00",71825
"2024-05-09T06:05:00.000+00:00",71829
"2024-05-09T06:05:30.000+00:00",71833
"2024-05-09T06:06:00.000+00:00",71839
"2024-05-09T06:06:30.000+00:00",71967
"2024-05-09T06:07:00.000+00:00",72154
"2024-05-09T06:07:30.000+00:00",72158
"2024-05-09T06:08:00.000+00:00",72162
"2024-05-09T06:08:30.000+00:00",72168
"2024-05-09T06:09:00.000+00:00",72204
"2024-05-09T06:09:30.000+00:00",72441
"2024-05-09T06:10:00.000+00:00",72485
"2024-05-09T06:10:30.000+00:00",72489
"2024-05-09T06:11:00.000+00:00",72495
"2024-05-09T06:11:30.000+00:00",72500
"2024-05-09T06:12:00.000+00:00",72704
"2024-05-09T06:12:30.000+00:00",72812
"2024-05-09T06:13:00.000+00:00",72818
"2024-05-09T06:13:30.000+00:00",72822
"2024-05-09T06:14:00.000+00:00",72826
"2024-05-09T06:14:30.000+00:00",72958
"2024-05-09T06:15:00.000+00:00",73142
"2024-05-09T06:15:30.000+00:00",73146
"2024-05-09T06:16:00.000+00:00",73150
"2024-05-09T06:16:30.000+00:00",73154
"2024-05-09T06:17:00.000+00:00",73218
"2024-05-09T06:17:30.000+00:00",73462
"2024-05-09T06:18:00.000+00:00",73475
"2024-05-09T06:18:30.000+00:00",73479
